temp,pressure,vibration,voltage
29.5,101.2,0.017,217.0
30.9,102.0,0.02,219.0
34.6,102.1,0.015,222.0
30.0,99.2,0.015,222.0
31.4,99.7,0.017,220.0
31.0,97.5,0.021,217.0
33.4,98.8,0.019,220.0
36.1,101.4,0.009,221.0
29.9,102.4,0.009,220.0
30.0,98.1,0.017,216.0
33.1,99.1,0.022,218.0
32.4,100.0,0.006,220.0
34.7,100.4,0.018,221.0
32.2,98.8,0.017,216.0
30.3,100.6,0.027,220.0
32.2,99.3,0.018,220.0
33.2,100.0,0.022,222.0
32.6,100.8,0.021,221.0
32.0,100.0,0.009,221.0
33.1,99.3,0.024,218.0
33.3,99.8,0.021,216.0
33.8,99.9,0.023,219.0
32.3,99.4,0.04,222.0
30.7,99.6,0.01,223.0
31.3,102.4,0.029,221.0
33.4,100.8,0.019,221.0
29.4,99.6,0.021,221.0
31.7,101.0,0.02,219.0
30.2,99.5,0.018,220.0
31.1,101.8,0.017,223.0
33.6,100.6,0.022,218.0
31.4,99.8,0.012,223.0
31.1,100.7,0.024,219.0
28.3,97.6,0.018,223.0
32.5,98.3,0.014,217.0
32.3,98.2,0.018,221.0
35.3,100.2,0.026,219.0
30.4,102.6,0.017,217.0
31.4,103.3,0.022,220.0
31.5,101.0,0.016,222.0
34.2,100.8,0.024,218.0
30.8,97.3,0.023,217.0
31.6,99.2,0.029,220.0
32.2,98.8,0.019,220.0
31.4,99.1,0.023,221.0
30.1,99.7,0.02,222.0
31.4,99.3,0.026,220.0
33.1,97.0,0.016,224.0
28.9,101.1,0.024,220.0
31.3,98.4,0.019,219.0
29.6,100.4,0.02,217.0
33.4,103.1,0.02,219.0
28.0,98.6,0.021,219.0
29.9,96.2,0.019,222.0
31.8,99.6,0.021,221.0
34.1,101.7,0.028,218.0
30.9,102.9,0.025,220.0
29.9,98.2,0.024,221.0
34.8,100.7,0.018,223.0
28.1,99.3,0.016,222.0
26.6,99.8,0.025,222.0
31.9,104.0,0.024,220.0
30.0,97.7,0.027,221.0
29.0,100.4,0.017,222.0
32.4,100.7,0.019,217.0
31.5,101.6,0.012,219.0
29.9,100.1,0.018,218.0
28.4,100.5,0.025,221.0
32.7,99.4,0.018,222.0
32.3,100.4,0.023,219.0
30.8,99.5,0.019,215.0
34.7,100.9,0.022,219.0
28.9,99.4,0.014,222.0
27.9,100.6,0.02,221.0
29.6,100.0,0.005,221.0
30.9,101.7,0.019,219.0
31.5,99.9,0.012,217.0
30.5,97.3,0.026,221.0
31.7,101.9,0.024,218.0
28.5,98.6,0.022,224.0
33.9,99.0,0.028,221.0
30.8,99.1,0.015,219.0
33.2,102.1,0.029,219.0
31.7,96.8,0.025,220.0
31.9,104.7,0.019,220.0
32.1,101.6,0.026,222.0
31.9,100.3,0.014,220.0
32.3,99.9,0.016,219.0
33.7,100.4,0.017,224.0
31.4,100.8,0.017,220.0
32.4,101.0,0.015,222.0
30.8,100.8,0.026,219.0
33.9,100.1,0.019,221.0
29.6,99.7,0.022,221.0
34.6,99.8,0.017,216.0
30.9,99.7,0.011,224.0
28.1,101.7,0.021,223.0
31.3,100.9,0.01,219.0
29.6,95.6,0.02,218.0
32.7,101.0,0.013,221.0
29.7,100.3,0.03,220.0
30.1,100.0,0.025,221.0
27.2,99.4,0.021,220.0
30.1,101.7,0.026,221.0
26.2,101.4,0.016,223.0
27.8,98.8,0.023,221.0
32.5,100.6,0.021,218.0
32.6,98.5,0.021,223.0
31.9,97.9,0.026,223.0
29.1,99.1,0.024,226.0
30.9,101.3,0.021,218.0
31.0,101.4,0.012,220.0
28.7,100.8,0.015,216.0
34.0,101.1,0.019,221.0
32.8,100.8,0.02,219.0
30.6,99.0,0.014,224.0
31.1,100.6,0.032,218.0
31.4,101.2,0.028,217.0
26.9,101.1,0.023,219.0
30.5,101.8,0.02,216.0
29.6,101.1,0.019,222.0
29.0,100.5,0.015,216.0
30.4,101.6,0.02,220.0
34.6,100.0,0.021,216.0
32.3,98.7,0.014,219.0
29.9,99.8,0.022,223.0
32.1,98.9,0.019,221.0
